,Purpose Code,Categorization
1075,MEDIA BUY - TN 07/29/14 AD,media
2981,"DESIGN, PRINTING & POSTAGE",administrative
4763,"TV ADVERTISEMENT SENSIBLE SUPPORTING RICHARD TISEI, 10/23 - 10/29.",media
3567,DESIGN PRINT & DISTRIBE MASS MAILING,media
3677,WEBSITE DEVELOPMENT SUPPORTING RON JOHNSON.,digital
1345,PAID PHONE BANKING - VOTE FOR CATHERINE CORTEZ MASTO (ESTIMATED),polling
7336,ADVERTISEMENT PRODUCTION AND PLACEMENT,media
5763,BUMPER STICKER PRODUCTION AND INDIVIDUAL MAILING,field
1414,DELIVERY OF MAILING,administrative
4135,VIDEO PRODUCTION/ONLINE ADS,digital
3850,MEDIA BUY-DISSEMINATED 5/2/2012,media
6256,10/13-10/14 ONLINE ADVERTISING,digital
508,INTEREST,misc
4056,ADVERTISING-TV; PRODUCTION,media
384,TELEMARKETING CONSULTING,consulting
6358,ADVERTISEMENT - RADIO ADVERTISING,media
1835,PRINTING & MAILHOUSE FOR MAILER,media
6970,POSTAGE FOR BUMPER STICKERS,field
3168,RADIO ADVERTISEMENT MEDIA BUY IN WEST VIRGINIA. AD AIRS 5/7 - 5/13.,media
6967,MAIL PRINTING & POSTAGE (OBAMACARE),fundraising
7402,POSTAGE FOR MAILERS ('ROSS GOTV MAILER 2'),media
841,TRAVEL FOOD BEVERAGE,travel
210,REIMBURSEMENT FOR POLITICAL PROGRAM SUPPORT GRANTS,field
1294,MEDIA AD PLACEMENT SERVICES,media
6103,IE-CRUZ-BLOG POSTS,digital
1804,AD CREATION AND PLACEMENT OF PAID SOCIAL MEDIA ADS RUNNING 10/26 - 11/1,digital
7145,7/24 TO 8/7 ADVERTISEMENT PRODUCTION,media
1406,GOTV T-SHIRTS,fundraising
1129,VOTER CONTACT MAIL (ALSO SUPPORTS TISEI),field
272,REIMBURSEMENT FOR LOCAL UNION POLITICAL PROGRAM SUPPORT,field
90,PRINTING OF CAMPAIGN MATERIALS,administrative
6322,MEALS DURING TRAVEL,travel
530,TELEMARKETING EXPENSE,fundraising
7070,EMAIL DEVELOPMENT,digital
2939,POSTAGE OF PREVIOUSLY PRINTED GOTV CARDS,field
2449,WEB ADS (RUN DATES 10/20 - 11/04/2014),digital
4660,REIMB. PREPAID DEBIT CARD; ULTIMATE PAYEE WAS DUANE READE,administrative
324,KYOCERA MFC PRINTER YORK,administrative
6185,IE-FISCHER-ONLINE PROCESSING,digital
1050,POSTAGE - CONNOLLY THE SPENDIFICENT,administrative
281,FUNDRAISING CONSULTING EXPENSES,consulting
753,LEGAL AND TREASURY EXPENSES,legal
651,MAILERS (MCGINTY SUPREME COURT MAILER 2),media
6034,IE-ERNST-MEDIA PRODUCTION,media
477,RADIO ADS,media
7393,PHONE CALLS - POLITICAL,field
649,IE-HATCH-GRASSROOTS ORGANIZING,field
652,"PRODUCTION, RENTAL AND SENDING OF EMAILS BEGINNING 10/31",digital
942,CONSULTANT POLLING RESEARCH,polling
6612,MEDIA PLACEMENT-ALSO OPPOSE KASICH AND CHRISTIE,media
3965,SUPPLIES FOR CANVASS AND PHONE BANKS,field
715,EXTERNAL EMAIL DISTRIBUTION,administrative
603,DIRECT MAIL PRODUCTION - ALSO OPPOSES RUBIO KASICH AND CHRISTIE,fundraising
147,CREDIT CARD SERVICE CHARGES,administrative
104,FILING FEE,administrative
7383,MAIL 'NY-27' 'COLLINS 3',media
690,IN KIND EXEMPT LEGAL SERVICES,legal
6469,TV AD BUY/PRODUCTION,media
2017,MEDIA PRODUCTION FOR NATIONAL CABLE BUY - ALSO OPPOSES TRUMP CRUZ & RUBIO,media
795,PAC LEGAL AND TREASURY FEES,legal
99,EMAIL MARKETING,digital
2141,REIMB: CANVASSING TRANSPORTATION ULTIMATE PAYEES: CHEVRON; APF GROUP; FINISHLINE PETROLEUM,field
693,CONTRACT SERVICES LEGAL,legal
2796,IE-HATCH-STORAGE RENTAL,administrative
7748,CABLE MEDIA FLIGHT 10/17-10/23 'SERVICE',media
2596,INB008 TELEMARKETING - ESTIMATE,fundraising
1873,...,misc
4704,IE-STENBERG-TRAVEL,travel
3579,MAILING: DESIGN PRINTING POSTAGE SHIPPING,administrative
5628,SUPPORTER TRAVEL AND LODGING,travel
6976,TV PRODUCTION & ONLINE PLACEMENT,digital
457,RADIO PRODUCTION - COMMUNITY,media
6930,"DIRECT MAIL DESIGN, PRINTING, HANDLING, POSTAGE",fundraising
670,EVENTS COORDINATOR,misc
2096,ADVERTISING - RADIO PRODUCTION (ALSO SUPPORTS JUDY BIGGERT),media
16,DIGITAL ADVERTISING  ESTIMATE,digital
4491,TV AD PRODUCTION COST 'ONE OF THEM',media
353,MEDIA STRATEGY CONSULTING,consulting
6309,DIGITAL MEDIA PRODUCTION/PLACEMENT - OKLAHOMA,digital
6217,METRO FARE,travel
241,VOLUNTEER EXEMPT MAIL,field
4155,ESTIMATED COST FOR FIELD DIRECTOR SERVICES 5/5-5/15,consulting
2439,IE-RUBIO-EMAIL LISTS,digital
713,PRINTING AND MAILING  ON 10/25,administrative
7779,"ESTIMATED COST:  SALARY, BENEFITS & OTHER CANVASS-RELATED EXPENSES FROM 10/11-10/15",field
3771,VIDEO PRODUCTION AND EDITING,media
6121,PRINT AD DESIGN (DEFEAT ORMAN),media
1851,SEACH ENGINE ADVERTISING,digital
4613,TV AD BEHIND,media
3038,JAN GIVEGREEN APPEAL - PROOFREADING,media
3401,WINDOW DECALS:  BRENDAN BOYLE (INDEP EXPEND),administrative
6422,CONSULTING FOR PHONE BANKING; 9/1 - 9/30.,consulting
2056,RADIO ADVERTISING IE 7/4,media
4756,DIGITAL ADVERTISING (PLACEMENT COSTS),digital
7959,ADVERTISING - RADIO (ALSO SUPPORTS RODNEY DAVIS),media
1894,ESTIMATED ONLINE VOTER GUIDE THROUGH 11/4/12,digital
998,JFC TRAVEL EXPENSE,travel
2089,TV AD FOOLED,media
4984,DISTRIBUTION OF 278 LETTER CARRIER FOR OBAMA T-SHIRTS TO NALC MEMBERS,field
7963,FACEBOOK ADS SUPPORTING STEVE TOTH,digital
819,DATA ANALYTICS,polling
736,STAFF TRAVEL EXPENSES FOR GOTV WORK,travel
2270,RADIO SPOT AND PRINT ADS,media
5730,IE-TEACHOUT-MEDIA BUY,media
5525,IE-BURR-BUMPER STICKERS,field
1753,ROBO ADVOCACY CALLS (ESTIMATE),field
7201,"DESIGN, PRINTING AND MAILING OF POSTCARD",administrative
3074,JOB POSTING FEE,administrative
6075,"TIME SPENT ON COORDINATING WEBSITE, SURVEY & FOCUS GRPS, MTG/CALLS RE VOTER MESSAGES",digital
5723,POSTAGE. PRINTING/PRODUCTION,administrative
925,BANK SERVICE FEE,legal
364,ACCOUNTING CONSULTING,consulting
4524,ROBOCALLS - UTAH,field
174,DIGITAL MEDIA PRODUCTIONPLACEMENT,digital
1941,DATA PROCESSING FOR MAILERS,polling
3266,VOTER CONTACT CALLS (4/01 - 4/07/2014),field
794,DIRECT MAIL (ALSO OPPOSES MARK UDALL),fundraising
4191,ADVERTISEMENT DESIGN,digital
5318,2/10-2/23 CABLE ADVERTISING PRODUCTION,media
6638,EMPLOYEE SALARY FOR GROUND CAMPAIGN (5/28/12 - 6/1/12),field
2055,TV PRODUCTION COSTS & ONLINE MEDIA BUY,digital
777,LEGAL AND REPORTING FEES,legal
2248,SHIPMENT,administrative
5094,TV AD 'TESTIMONIAL',media
4947,VEHICLE RENTAL,travel
635,2 MAILERS,media
1162,PAYROLL FOR CANVASSERS- COUNTRY DIVIDED (ESTIMATED),field
4717,MAIL PRODUCTION PRINTING POSTAGE (HAGAN 1),fundraising
4640,JOE DIO GUARDI POST CARD MAILING,fundraising
5769,RADIO ADS -  FLOTUS NEED,media
2406,TRAVEL REIMBURSEMENT - GAS,travel
4941,ADVERTISING PRODUCTION AND PLACEMENT,media
161,MEETING EXPENSE,administrative
2853,PAC RADIO AD BUY 11/2-11/6/12,media
6855,BROADCAST MEDI A BUY,media
6867,PRINTING OF CANVASS LITERATURE,field
4479,MAILING LIST MODELING ESTIMATE OF DM OPPOSING HILLARY CLINTON. DMS SENT ON 8/26/15.,field
675,EVENTS REPUBLICAN DINNER,field
6367,DATA LIST FOR PHONE BANKING; 9/1 - 9/30,field
7427,FOOD,administrative
5963,CAMPAIGN LITERATURE AND MAILING; PAID DATE 05/19/2014; DISSEMINATION DATE 05/19/2014,field
6582,"NEAL DUNN, PROJECT: FL-2, MAILING #3",media
4286,TELEVISION ADS (BEGIN AIRING ON 07/30/12),media
340,VOTER RESEARCH,polling
892,O,administrative
7192,ESTIMATED CANVASS OFFICE OCCUPANCY COSTS,field
473,TELEMARKETING DATA,fundraising
6243,TELEVISION ADVERTISEMENT MEDIA BUY IN NEBRASKA. AD AIRS 5/7 - 5/13.,media
4197,WEBSITE CREATIVE DEVELOPMENT (ESTIMATE),digital
2682,SUPPORT CANDIDATE,administrative
6373,FULFILLMENT ITEMS - AUDIO BOOKS,administrative
6523,TV AD RUNNING AGAIN,media
703,PHONE COMMUNICATIONS,administrative
458,GENERIC CMTE FUNDRAISING SVCS,fundraising
594,TELECONFERENCE,administrative
7885,PRINT/ ONLINE ADVERTISING 10/22 TO10/26,digital
351,STAFF TIME & FOOD FOR PHONEBANKING; 9/1 - 9/30,polling
3905,ALLEGIANCE DIRECT AUGUST/SEPTEMBER MONTHLY DIRECT MAIL SUBVENDOR FEE,fundraising
420,LIST ACQUISITION,fundraising
6903,IE-MOURDOCK-SIGNAGE,field
2294,CATHERINE AGAINST NEVADA DIGITAL CONTENT,digital
6177,IE-HATCH-STAFF & OVERHEAD,administrative
671,REIMBURSEMENTS LODGING CAMPAIGN EVENTS,travel
5321,IE-MURPHY-VIDEO PRODUCTION,media
2561,IE-HATCH-AUTO CALLS,field
4542,SUPPORT EMAILS,digital
3233,BROADCAST TV AD SOLUTION,media
7721,"EQUIPMENT FOR ONLINE VIDEO PRODUCTION, SEE IN-KIND PAGE 2, ITEM C",digital
7142,LUMP PAYMENT FOR VOTER OUTREACH CALLING SERVICES,field
2719,TRAVEL COSTS FOR VOLUNTEERS,travel
707,EVENTS COSTS,misc
3822,ESTIMATE: TELEPRESSER,media
177,DIGITAL AD PRODUCTION AND MEDIA BUY,digital
3108,EQUIPMENT FEE,administrative
2589,WEB AD PLACEMENT (JEFF'S HEALTHCARE),digital
366,FINANCE CONSULTING FEE,consulting
3232,11/4/16 TO 11/8/2016 DATA FOR DIGITAL ADVERTISING,digital
664,LEGAL SERVICES PAC ADMINISTRATION,legal
159,WI RECOUNT FILING FEES,administrative
1816,DOOR-TO-DOOR GOTV (ESTIMATE),administrative
4757,DIGITAL ADVERTISING PRODUCTION,digital
5593,EDITING,media
826,IN KIND RESEARCH,polling
352,STRATEGIC MEDIA CONSULTING COMPLIANCE,consulting
403,CATERING,administrative
4238,PRO-MARRIAGE GOTV - AGAINST RON PAUL,media
4598,MEDIA PRODUTION - ALSO OPPOSES RUBIO,media
97,ADVANCE PAYMENT FOR ONLINE VIDEO PRODUCTION COSTS,digital
7713,DIRECT MAIL - 10/22 NY,fundraising
6578,DIGITAL AD PLACEMENT PRODUCTION COSTS TOUGH GUY,digital
6457,DIRECT MAIL - FULFILLMENT,fundraising
907,BANKING SVS,legal
374,DEBT PAYMENT FOR SALARY CANVASS RELATED EXPENSES,field
3661,"MEDIA PRODUCTION-NATIONALLY DISSEMINATED, ALSO OPPOSED TRUMP AND CRUZ",media
3130,GRAPHIC DESIGN - WEBSITE,digital
6746,SMALL ITEM DISTRIBUTION-ESTIMATED COSTS,field
3359,BLOGS AND SOCIAL MEDIA POSTS ON TRUMP,digital
5065,EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 10/6-10/20,field
4840,VOTER TELEPHONE CONTACT (ALSO OPPOSES OBAMA),field
7793,"PRINTING/POSTAGE, 1ST CD FLIER",media
7141,TV ADS WRONG FOR WISCONSIN WRONG AGAIN,media
901,IN KIND VOTER FILE,polling
6458,PRODUCTION AND POST PRODUCTION OF 'GUADALUPE' :30 COMMERCIAL,media
616,DATA PLAN FOR CANVASSING,field
6938,MAIL PRINTING & SHIPPING (DEFEAT BEGICH 2),fundraising
1305,POSTAGE PRINTING / PRODUCTION,administrative
5121,PRODUCTION COSTS (TORE),media
485,INTERNET ADVERTISEMENT - FACEBOOK.COM BANNER AD,digital
3682,TELEMARKETING FUNDRASING,fundraising
453,MAILER,media
2464,MAILING AND DELIVERY,travel
963,WEB AD PLACEMENT ESTIMATE,digital
3599,MEDIA AD PRODUCTION AND PLACEMENT,media
6567,"UFCW FOR OBAMA SHIRTS, BUMPER STICKERS,",field
10,PRINTING POSTAGE,administrative
995,MAILING AND POSTAGE,administrative
1193,LAPEL STICKERS,field
4832,MEDIA PLACEMENT FOR NATIONAL CABLE MEDIA BUY ON FOX CHANNELS,media
737,SHIPPING AND EVENTS CATERING EXPENSES,misc
4485,TELEVISION MEDIA BUY - 'NEWTOWN',media
6609,DIRECT MAIL -- FLORIDA; ALSO OPPOSES BARACK OBAMA,fundraising
727,EVENTS DAVENPORT HOTEL SPOKANE VICTORY PARTIES,misc
2543,PRINTING OF CAMPAIGN LITERATURE-VOTE SUOZZI,field
7105,STAFF TIME FOR EMAIL & SEND,administrative
7781,BUS TOUR - STAFF REIMBURSEMENT,travel
890,POLLING AND RESEARCH,polling
5717,IE-HANNA-MEDIA PRODUCTION-ESTIMATED,media
548,MEDIA - RADIO PRODUCTION,media
6634,GOTV PHONE CAMPAIGN,field
5280,CONSULTING MATERIAL DESIGN,consulting
7371,TRAVEL FOR FIELD PROGRAM; 7/1 - 7/31,field
3354,IN-KIND PHONE CALLS IN SUPPORT OF MCDANIEL,field
6456,IE-STENBERG-POLLING,polling
797,ACCOUNTING COMPLIANCE SUPPOR,legal
6583,"TV AND DIGITAL MEDIA SUPPORTING ROB PORTMAN JUNE 23-JULY 8, 2016.",digital
5814,MAILER (BAYH HEADLINE MAILER 1),media
6511,"POSTAGE, 10TH CD FLIER",media
7851,WEBSITE & DIGITAL CONSULTING SERVICES,consulting
4885,DESIGN FEE FOR PALM CARDS,field
4678,MEDIA PRODUCTION (STAND NV: 11/2/16 - 11/8/16),media
2372,DIRECT MAIL DATA PROCESSING,fundraising
7170,IE-SMITH-LIST PURCHASE,fundraising
6642,ELECTION 2012 - OBAMA HARD HAT STICKERS,field
2298,NEW MEXICO PLANNING,administrative
85,IN KIND DIGITAL ADVERTISING SEE MEMO ENTRY,digital
6461,IE-STUTZMAN-ONLINE PROCESSING,digital
3147,IE-MANDEL-ONLINE PROCESSING FEES,digital
5365,IE-SMITH-SHIPPING,administrative
141,STAFF TIME FOR RESEARCH MEMO,consulting
4016,LAWN SIGN CREATION AND DISTRIBUTION,field
3659,ESTIMATED STAFF TIME FOR CANVASSING SERVICES 9/11-9/25,field
2285,DEVELOPMENT AND PLACEMENT OF RADIO ADVERTISEMENT,media
6808,RENTAL FEE,administrative
4322,IE-PHONE CALLS-ROBERTS,field
6710,TELEVISON PRODUCTION OF 'PUMPED' - ESTIMATE,media
4707,PLACEMENT FOR TV & RADIO AD (RANCHER FOR HUELSKAMP),media
7250,"REIMBURSEMENT FOR COST OF MAIL PERMIT, ALSO OPPOSED MITT ROMNEY",media
3134,SLATE MAILER; PAID DATE 04/22/2014; DISSEMINATION DATE 05/05/2014.,media
113,MEDIA ADVERTISING OF RUIZ CHOICE & GOTV RALLY,media
3769,IE-LANDRIEU-MEDIA PRODUCTION,media
5863,IE-MCCAIN-VOTER CALLS,field
7335,INTERNET ADVERTISEMENT PRODUCTION,digital
5484,FUNDRAISING ADVERTISING IN SUPPORT OF CA,fundraising
6670,HONDA WALK PIECE,field
5009,PRINTING:  DIRECT MAIL POSTCARD,fundraising
5214,OBAMA LAPEL PINS AND OBAMA DNC POLO SHIRTS,field
4540,PAID DISTRIBUTION - VOTE FOR MARGARET HASSAN,digital
7272,IE-MCMAHON-TELEMARKETING,fundraising
1590,IE-JOHNSON-TRAVEL,travel
735,CAMPAIGN LEGAL SERVICES,legal
1796,PAC MEDIA BUY 9/18-9/21/12,media
746,FIELD ORGANIZER,field
1274,PRINTING AND SHIPPING - YARD SIGNS,field
741,"TV AND DIGITAL ADVERTISEMENT STRONG CREDENTIALS SUPPORTING JONI ERNST, 5/28 - 6/3.",digital
4271,DIRECT MAIL PIECE 'LINGLE' (MAILED ON 08/03/12),fundraising
555,DIRECT MAILER,fundraising
6697,NEWSPAPER AD - CO,media
2275,MAIL PRINTING AND SHIPPING (DEFEAT RAHALL 1),media
476,RADIO PLACEMENT,media
7666,IE-FLAKETRAVEL,travel
7386,ONLINE GOTV ADS,digital
319,POLLING STRATEGIC CONSULTING,consulting
3167,IE DIGITAL AD PRODUCTION - NON CONTRIBUTION ACCOUNT,digital
7028,NEWSPAPER AD   - NM,media
3262,IE_DIDIER-TRAVEL,travel
1334,WEB SITE INTERNET ADVERTISING,digital
6893,WEB AD PLACEMENT ('WHAT HAS LANDRIEU DONE FOR YOU),digital
2196,LIST ACQUISITION 'GOTV OBAMACARE QUIZ',fundraising
270,VOTER FILE UPDATES AND MAINTENANCE,polling
6648,"TV AND DIGITAL ADVERTISEMENT US SUPPORTING MITCH MCCONNELL, 10/28 - 11/3.",digital
1180,MEDIA & PRODUCTION,media
390,DIGITAL STRATEGY CONSULTING SERVICES,consulting
7768,IE-PRINTING-CARDS,administrative
7799,DIRECT MAIL OF 'WORKERS' - ESTIMATE,fundraising
4703,CWA RETIREE MAILING,field
491,MEDIA BUY AND PRODUCTION,media
5953,NEIGHBORS PRODUCTION,media
7831,MAILER - SOCIAL SECURITY #2,media
3716,SOCIAL MEDIA PLACEMENT: REAL SOLUTIONS,digital
1510,ONLINE ADVERTISING 10/28,digital
4946,PRINT & MAIL POSTCARDS,administrative
665,JFC LEGAL SERVICES,legal
5858,LAPEL STICKERS AND SHIRTS FOR CANVASSERS NC,field
6532,IE-RADIO-WALKER,media
1493,VOTER FILES - IA & NV,polling
2482,PRODUCTION AND MEDIA BUY - MR. DEPENDABLE & FEELING GUILTY,media
6693,FEDERAL RADIO AD POST-PRODUCTION SERVICES,media
426,EVENT PRODUCTION,media
5820,DIGITAL ADVERTISNG,digital
959,DATA ANALYTICS SERVICES,polling
2811,PRINT AD ON NEWSPAPER,media
2148,ENTERPRISE VAN RENTAL,travel
498,ADVANCE PAYMENT FOR DIRECT MAIL COSTS,fundraising
7648,IE-LANDRY-VOLUNTEER COORDINATING,field
1624,TV/DIGITAL MEDIA PRODUCTION,digital
4427,RADIO ADS STARTING 4/30+ TIME AND PRODUCTION,media
3016,PRODUCTION EXPENSE,media
604,NEWSPAPER AD   - AZ,media
2712,IE-HATCH-STAFF AND OVERHEAD,administrative
949,LOCAL TRANSPORTATION,travel
833,DIGITAL MEDIA SERVICE SURVEY RESEARCH DONOR MODELING,polling
1246,SUPPORT RADIO AD FOR SHARRON ANGLE FOR US SENATE,media
4275,EMAIL COSTS (PULLED FROM ADVANCE LINE 21),digital
4031,IE-MANESS-VOTOR DATA,polling
939,IE-MCGINTY-MEDIA PRODUCTION,media
1998,TELEVISION AD BUY SUPPORTING SAM CLOVIS. AD AIRS MAY 27TH TO JUNE 3RD.,media
4000,CANVASS OPERATIONS PAYROLL,field
180,DIRECT MAIL EXPRESS ADVOCACY,fundraising
149,ESTIMATED MAIL AND PRODUCTION FEES,administrative
5942,SOCIAL MEDIA BUY -- NOT STATE SPECIFIC,digital
1346,PHONE BANK CALLS,polling
7500,TV MEDIA BUY AND SHIPPING - TIME?,media
2730,WEB ADVERTISING (ESTIMATED VALUE),digital
568,TV ADS 'WHAT'S THE DEAL',media
1714,"TV AND DIGITAL ADVERTISEMENT FIGHTER SUPPORTING KELLY AYOTTE, 7/22 - 7/31.",digital
1264,POSTAGE- MAIL PIECE 5,administrative
555,TELEMARKETING SERVICES - 10/30/2010,fundraising
4861,MAIL COST (FROM ADVANCE LINE 21),administrative
240,DOOR HANGER -- WISCONSIN; ALSO OPPOSES BARACK OBAMA,field
2359,POSTAGE - MAIL PIECE 1,media
4533,IE-STENBERG-SHIPPING OF SIGNAGE,field
5894,IE-ANGLE-EMAIL USAGE,digital
4093,MAIL DESIGN (DEFEAT WARNER),media
762,DIRECT MAIL SERVICES - ENDORSE,fundraising
1287,ESTIMATED COST FOR CANVASSING SERVICES FOR 8/29-9/4,field
2076,RAIL PRODUCTION\TTV PRODUCTION,media
202,TV MEDIA PURCHASE,media
5254,CAMPAIGN RALLY DECORATIONS,field
2770,DOOR HANGER - OHIO (IN-KIND: CANVASSERS); ALSO OPPOSES OBAMA,field
934,EVENT TRANSPORTATION,travel
2691,IE-COPE-ONLINE ADS,digital
1847,WEB VIDEO PRODUCTION AND PLACEMENT: 'THE AMERICAN DREAM',digital
3025,ADVERTISEMENT IND. EXP,media
208,TV AD PRODUCTION: NIKKI,media
628,IE-PHILPOT-BUMPER STICKERS,field
7972,EST. PAYMENT FOR SALARY AND OTHER CANVASS-RELATED EXPENSES FROM 7/29-8/31,field
3393,VOICE WORK FOR RADIO AD,media
6122,DIGITAL ADVERTISING (PLACEMENT AND PRODUCTION COST),digital
2350,FLYER - DISSEMINATED 10/31/2016,field
1877,PROJECTED PAYROLL FOR CANVASSERS IN FL 8/1-8/31,field
1431,SUPPORT FOR IE ACTIVITY - TV BUY AND PRODUCTION,media
7463,IE-THOMAS-DONATION PROCESSING,fundraising
6631,VOTER CONTACT MAIL PRODUCTION & POSTAGE: WARNING SIGNS,field
2386,MEDIA BUY/PRODUCTION COSTS (MI),media
488,PRINT 4 COLOR FLYERS PRODUCTION COST,field
7002,RADIO ADVERTISING PRODUCTION FOR 10/20/14 NEW JERSEY AD,media
2247,"MAILER: THE BELT, WRESTLING POSTER, ACTION FIGURE",media
5538,GRAPHIC DESIGN FOR DIGITAL ADS AND WEBSITE,digital
2295,INV. # 84734 - HARD HAT STICKERS - OBAMA CAMPAIGN,field
1777,VOTE FOR JOE DIOGUARDI IN PRIMARY-EMAILS,digital
127,ON LINE ADVERTISING COST,digital
433,TELEMARKETING DATA MANAGEMENT,fundraising
6832,TELEVISION AD PRODUCTION COSTS (BETTER).,media
2713,VOTER TELEPHONE CONTACT (ALSO SUPPORTS SCHILLING),field
5187,IE-BIRMAN-PHONE CALLING,field
1688,PRO-GIANNOULIAS MESSAGING/COMMUNICATION,administrative
5437,3 WISHES PLACEMENT TV,media
317,CANVASS PROGRAM,field
678,PAC PRINTING,administrative
4696,ONLINE/NEWSLETTER ADVERTISING IE 5/25,digital
754,LEGAL SERVICE FEES,legal
6720,RADIO AD PRODUCTION LOST,media
6088,"TV AND DIGITAL OPPOSING TED STRICKLAND, THE NUMBERS, 4/7 - 4/22.",digital
263,RESEARCH CONSULTING SERVICES,consulting
3509,POSTCARDS (ESTIMATED COST),administrative
2782,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),digital
5708,RADIO ADVERTISING 10/31-11/1,media
2260,IE-RADIO-MCSALLY,media
6537,PHONE CALLS TO VOTERS,field
5011,MEDIA AD PRODUCTION,media
141,TV AND DIGITAL ADVERTISEMENT POWER OPPOSING MARK UDALL 94  917,digital
1429,WEB PAGE DESIGN,digital
1807,WEB AD PLACEMENT (FIRE LANDRIEU 2),digital
506,TELEVISION ADVERTISING; ALSO SUPPORTS NEWT GINGRICH,media
586,VOLUNTEER RECRUITMENT,field
566,TV ADVERTISING PLACEMENT,media
1059,"UFCW FOR OBAMA SHIRTS, LAPEL PINS",field
5297,IE-CLINTON-PRINTING,administrative
6029,IE-RADIO-RIGELL,media
2528,DIRECT MAIL--OHIO; ALSO OPPOSES BARACK OBAMA,fundraising
922,TRAVEL EXP,travel
7913,TV AD PRODUCTION & DIGITAL MEDIA BUY,digital
2916,POSTCARDS ('NEIGBOR TO NEIGHBOR 1'),administrative
4432,IE-STUTZMAN-POSTAGE,fundraising
2745,IE-WALORSKI-DOOR HANGERS,field
822,ISSUE SURVEY,polling
502,MEDIA BUY - NY 11/03/12,media
6913,ONLINE ADS - DONOR,digital
911,VOTER FILE SERVICES,polling
7422,RADIO ADS 10/21+,media
941,FOCUS GROUPS POLLING,polling
389,DIRECT MAIL TO SUPPORT YUNGMAN LEE,fundraising
1007,ADVERTISING - TV AD PRODUCTION,media
2103,DIRECT MAIL - PRODUCTION AND POSTAGE,fundraising
430,ADVERTISING MEDIA BUY,media
2033,IE-SANFORD-YARD SIGNS,field
6649,WRONGONMARRIAGE.COM WEBSITE - RON PAUL - PRODUCTION,digital
772,RADIO ADS (10/10 - 10/23/2016),media
1037,PRODUCTION AND TIME BUY FOR TV AD,media
764,ADVERTISING FEES FOR MEDIA BUYS,media
658,ACCOUNTING AND SUPPORT SERVICE,legal
1261,PLACEMENT OF ONLINE ADS,digital
4504,PHONE DIALER,polling
3216,ESTIMATED LEGAL SERVICES COSTS,legal
4778,STICKER,field
2758,AUGUST/SEPTEMBER MONTHLY LIST RENTAL FEES AND ONLINE ADVERTISING,digital
541,OUTBOUND ADVOCACY MESSAGING AND FUNDRAISING SERVICES,fundraising
5023,DIRECT MAIL - 10/31 NY,fundraising
475,MEDIA PRODUCTION SERVICES,media
622,TV SPOT,media
2001,ESTIMATED COST FOR CANVASSING SERVICES 5/5-5/15,field
5672,IE-NELSON-MEDIA BUY,media
3981,INSIDER BARBER' AND 'CLEAR' TELEVISION ADVERTISEMENTS,media
5262,WEB DESIGN - DISSEMINATED 3/1/12,digital
7099,TV AD PLACEMENT 'TRICK-EDWARDS',media
4586,IE-ROSSI-BUMPER STICKERS,field
743,GRAPHIC DESIGN - VOTE FOR CATHERINE CORTEZ MASTO,digital
3213,NEWSPAPER AD -CA,media
249,CAMPAIGN MERCHANDISE,field
5566,PRITNING,administrative
2492,PRODUCTION COSTS FOR WEB VIDEO,digital
7539,IE-MCCONNELL-EMAIL/SOCIAL MEDIA/PRNTING,digital
4075,IE-OBAMA-DATA MANAGEMENT,consulting
3605,IE-STRICKLAND-DIGITAL ADS-ESTIMATED,digital
5333,DATA FOR PHONE CALLS,administrative
7728,SOCIAL MEDIA AND DISPLAY AD DEVELOPMENT AND AD BUY,digital
2638,MAILER PRODUCTION,media
5205,TV AD PRODUCTION: 'LAPDOG',media
1521,ESTIMATE OF BUS TOUR TRAVEL EXPENSES AND OTHER MISC. EXPENSES,travel
4547,IE-CRUZ-VIDEO PRODUCTION,media
1742,TV MEDIA BUY - 'PELIGRO' 10/26/2010,media
61,DATABASE,digital
502,DIRECT MAIL FUNDRAISER,fundraising
3174,LIVE AND AUTOMATED TELEPHONE CALLS,field
572,TELEMARKETING MEMBERSHIP COMMUNICATIONS,fundraising
1188,GRASSROOTS SUPPORT EMAILS - LISTS & CREATIVE,field
186,SOCIAL MEDIA ADVERTISING,digital
5979,REIMBURSEMENT OF INTERNET ON AIRPLANE FEE,travel
4841,TV PRODUCTION COSTS OF 'HURTING' - ESTIMATE,media
1410,CREATIVE AND PRODUCTION,media
534,SALARIES WAGES,administrative
7840,CANVASS OPERATION - BEGINNING 08/09/2013,field
330,ADVERTISING CONSULTING,consulting
1690,ESTIMATED ONLINE VOTER CONTACT COSTS FOR REMAINDER OF MAY,digital
4279,SEARCH AD: AZ-01,media
4382,ELECTRONIC AD,digital
4571,PRINTING AND POSTAGE FOR MAIL PIECE,media
1,POSTAGE,administrative
268,PHONE CALLERS,field
3171,"MEDIA BUY, CABLE & RADIO",media
258,TONER/OVERNIGHT GOTV PAYROLL/OFFICE SUPP,fundraising
908,TELEVISION ADVERTISING (PLACEMENT COST),media
4593,IE-EMAIL LIST USAGE,digital
1815,LICENSE OF PROPIETARY LIST FOR EMAIL COMMUNICATIONS,digital
979,PAC BANK FEES,polling
